FID,lon,lat,speed3,speed3_3
4550,116.64556,43.569347,-148.856354,-148.856354
4551,116.84299,43.552505,-149.4860966,-149.4860966
4552,117.04039,43.535374,-149.6799917,-149.6799917
4553,117.23764,43.517944,-149.3167617,-149.3167617
4554,117.434746,43.500206,-148.7716023,-148.7716023
4555,117.63186,43.482166,-148.3925003,-148.3925003
4556,117.82888,43.463837,-148.9077803,-148.9077803
4557,118.025734,43.4452,-151.6343298,-151.6343298
4558,118.222496,43.42626,-153.7780358,-153.7780358
4559,118.419235,43.407043,-155.1073458,-155.1073458
4560,118.61574,43.387516,-154.3845183,-154.3845183
4561,118.81221,43.3677,-152.1879931,-152.1879931
4562,119.008484,43.347584,-150.4077062,-150.4077062
4563,119.20469,43.327168,-148.7362708,-148.7362708
4564,119.400764,43.30647,-147.7557016,-147.7557016
4565,119.59676,43.285477,-147.4970439,-147.4970439
4566,119.7926,43.26418,-147.4970439,-147.4970439
4567,119.98839,43.242607,-147.949857,-147.949857
4568,120.183975,43.220734,-146.4260749,-146.4260749
4569,120.3794,43.198566,-143.9726291,-143.9726291
4570,120.57474,43.176117,-143.1032306,-143.1032306
4571,120.76992,43.153378,-143.0224061,-143.0224061
4572,120.96495,43.13036,-143.7534496,-143.7534496
4573,121.159874,43.10703,-144.7358492,-144.7358492
4574,121.354675,43.08343,-145.2512012,-145.2512012
4575,121.54928,43.059547,-145.0783846,-145.0783846
4576,121.5796898,43.33182509,-145.0919233,-145.0919233
4577,121.7739958,43.33628209,-145.1808942,-145.1808942
4578,121.9681958,43.34042109,-145.3636943,-145.3636943
4579,122.1622058,43.34425509,-146.00047,-146.00047
4580,122.3560758,43.34774909,-145.8685278,-145.8685278
4581,122.5497358,43.35095009,-145.5863269,-145.5863269
4582,109.90109,44.095577,-126.4474147,-126.4474147
4583,110.098915,44.088917,-126.3076339,-126.3076339
4584,110.29541,44.08194,-125.9959481,-125.9959481
4585,110.49574,44.074646,-125.653652,-125.653652
4586,110.69324,44.067036,-125.2107224,-125.2107224
4587,110.89351,44.059116,-124.8193625,-124.8193625
4588,111.09325,44.050884,-124.5827456,-124.5827456
4589,111.292404,44.042336,-124.4117418,-124.4117418
4590,111.491745,44.033466,-124.4662789,-124.4662789
4591,111.69108,44.02428,-124.4161449,-124.4161449
4592,111.890205,44.014786,-123.8130804,-123.8130804
4593,112.08947,44.00497,-123.243328,-123.243328
4594,112.28884,43.994865,-122.6854871,-122.6854871
4595,112.48806,43.984432,-122.1133832,-122.1133832
4596,112.6873,43.97369,-121.4826931,-121.4826931
4597,112.88643,43.96263,-121.23511,-121.23511
4598,113.08547,43.951267,-121.3947039,-121.3947039
4599,113.28474,43.939587,-121.7880224,-121.7880224
4600,113.48375,43.9276,-122.671009,-122.671009
4601,113.68265,43.915302,-123.8053914,-123.8053914
4602,113.881516,43.902687,-123.2021117,-123.2021117
4603,114.080536,43.88977,-123.3679453,-123.3679453
4604,114.279335,43.876545,-123.0341261,-123.0341261
4605,114.47812,43.863014,-124.1493931,-124.1493931
4606,114.67689,43.849174,53.35435175,53.35435175
4607,114.87553,43.835014,55.03488017,55.03488017
4608,115.07409,43.820557,57.17145918,57.17145918
4609,115.27255,43.8058,62.52556944,62.52556944
4610,115.47103,43.79073,74.87599397,74.87599397
4611,115.669464,43.775352,117.1811131,117.1811131
4612,115.86779,43.75967,-171.7405649,-171.7405649
4613,116.065926,43.74369,-154.3780067,-154.3780067
4614,116.26407,43.727394,-149.1670581,-149.1670581
4615,116.46214,43.7108,-146.9889643,-146.9889643
4616,116.660126,43.693913,-146.309935,-146.309935
4617,116.8581,43.67671,-145.9806525,-145.9806525
4618,117.05586,43.659214,-145.413828,-145.413828
4619,117.25362,43.641415,-144.8112593,-144.8112593
4620,117.45117,43.62332,-144.1277871,-144.1277871
4621,117.648605,43.60491,-144.4841849,-144.4841849
4622,117.84603,43.58621,-147.4126507,-147.4126507
4623,118.04338,43.56721,-149.4577693,-149.4577693
