lon,lat,uu01,vv01,speed,speed_1
113.56491,34.189686,6.36,0.1,0.901259709,0.901259709
113.73875,34.184235,6.13,0.11,1.028557225,1.028557225
113.91247,34.178535,5.55,0.11,1.136019278,1.136019278
114.0862,34.17259,5.3,0.12,1.297699203,1.297699203
114.260025,34.16639,4.94,0.13,1.508200352,1.508200352
114.43372,34.159958,4.1,0.14,1.956673348,1.956673348
114.6073,34.153267,3.67,0.14,2.185718855,2.185718855
114.78082,34.146336,3.56,0.13,2.092393112,2.092393112
114.95448,34.13916,3.07,0.08,1.493468939,1.493468939
115.127975,34.13173,2.09,0.07,1.919253305,1.919253305
115.30142,34.12406,1.56,0.06,2.203715352,2.203715352
115.4749,34.11615,1.23,0.06,2.794118865,2.794118865
115.64816,34.107983,0.85,0.04,2.69565087,2.69565087
115.82161,34.099583,0.28,0.02,4.087689064,4.087689064
115.9948,34.09093,0.02,0.01,26.57852536,26.57852536
118.75873,33.919483,0.01,0,0,0
118.93088,33.906715,0.02,0,0,0
119.102936,33.89371,0.03,0,0,0
119.2749,33.88047,0.09,0,0,0
119.446815,33.86698,0.19,0,0,0
119.61859,33.85326,0.22,0,0,0
119.79036,33.8393,0.48,0,0,0
119.962006,33.82511,0.36,0,0,0
120.13355,33.810673,0.22,0.01,2.60388226,2.60388226
120.305046,33.795998,0.1,0.02,11.31566904,11.31566904
120.47646,33.78109,0.05,0.02,21.81246748,21.81246748
120.64772,33.765945,0.04,0.02,26.57852536,26.57852536
120.818954,33.75057,0.03,0.03,45.02282465,45.02282465
120.98998,33.734955,0.01,0.01,45.02282465,45.02282465
121.161026,33.719112,0,0.01,90.04564931,90.04564931
121.331894,33.703022,0,0.01,90.04564931,90.04564931
123.03531,33.529408,2.4,0.37,8.768546107,8.768546107
123.20504,33.51077,2.26,0.65,16.05393594,16.05393594
123.3747,33.49191,1.37,0.69,26.7456527,26.7456527
107.467255,34.364666,1.26,0.41,18.03386592,18.03386592
