FID,lon,lat,pm02,pm02_1
1307,113.88192,37.17658,5.27,5.27
1308,114.06231,37.169373,5.54,5.54
1309,114.24266,37.161907,4.37,4.37
1310,114.423065,37.154167,3.03,3.03
1311,114.60335,37.14617,3.16,3.16
1312,114.78361,37.13791,2.8,2.8
1313,114.963806,37.12938,2.26,2.26
1314,115.143845,37.12059,1.93,1.93
1315,115.32399,37.111538,1.7,1.7
1316,115.50403,37.102215,1.65,1.65
1317,115.68404,37.092632,1.84,1.84
1318,115.863815,37.082798,1.67,1.67
1319,116.04378,37.07269,1.16,1.16
1320,116.223595,37.06232,0.71,0.71
1321,116.40337,37.051685,0.59,0.59
1322,116.58297,37.040806,0.48,0.48
1323,116.7626,37.029644,0.35,0.35
1324,116.9421,37.018234,0.3,0.3
1325,117.12161,37.00656,0.3,0.3
1326,117.30106,36.994625,0.28,0.28
1327,117.4804,36.982437,0.17,0.17
1328,117.659584,36.96998,0.12,0.12
1329,117.838776,36.957268,0.12,0.12
