lon,lat,pm01,pm02
121.71315,33.987133,0.59,0.59
121.88428,33.970703,0.7,0.7
122.05534,33.954037,0.83,0.83
122.22635,33.937134,0.91,0.91
122.39714,33.919994,1.2,1.2
122.56785,33.902626,1.29,1.29
122.73852,33.885033,1.31,1.31
122.90905,33.867195,1.25,1.25
123.079445,33.849125,18.36,18.36
123.24971,33.83082,16.77,16.77
123.419876,33.812298,14.44,14.44
123.58995,33.79353,22.48,22.48
107.458405,34.652447,24.03,24.03
107.63339,34.655968,19.9,19.9
107.80832,34.65924,19.08,19.08
107.983154,34.662254,19.99,19.99
108.15823,34.665024,20.57,20.57
108.33316,34.667538,22,22
108.508514,34.66981,24.37,24.37
108.68298,34.67182,26.26,26.26
108.858246,34.67358,27.25,27.25
109.033295,34.675095,23.07,23.07
109.208466,34.67635,16.81,16.81
109.382935,34.67735,16.81,16.81
109.55853,34.678104,15.14,15.14
109.73312,34.6786,11.89,11.89
109.90723,34.67885,15.75,15.75
110.08393,34.678852,18.96,18.96
110.26019,34.67862,23.89,23.89
110.43386,34.678135,15.38,15.38
110.60909,34.677387,14.97,14.97
110.78435,34.6764,17.76,17.76
110.959816,34.675148,28.63,28.63
111.134705,34.673653,39.01,39.01
111.310005,34.671894,48.67,48.67
111.4849,34.66989,75.22,75.22
111.65965,34.66764,58.74,58.74
